date,open,high,low,close,adjusted_close,volume
2022-02-01,2756.7,2764.0,2691.365,2757.57,137.7218,51203200
2022-02-02,3037.27,3042.0,2911.15,2960.73,147.8682,89750760
2022-02-03,2905.9,2982.354,2844.1,2853.01,142.4884,56930140
2022-02-04,2860.34,2890.705,2796.35,2860.32,142.8534,49224400
2022-02-07,2874.18,2876.93,2773.98,2778.76,138.7801,44610740
2022-02-08,2779.825,2796.742,2737.46,2784.26,139.0548,34255040
2022-02-09,2816.995,2843.51,2807.54,2829.06,141.2922,28627160
2022-02-10,2790.0,2828.62,2761.0,2772.05,138.445,33017700
2022-02-11,2775.0,2785.665,2665.77,2682.6,133.9775,38808800
2022-02-14,2667.31,2723.33,2666.04,2706.0,135.1462,26792800
2022-02-15,2749.43,2758.0,2710.79,2728.51,136.2704,26577560
2022-02-16,2728.61,2758.92,2696.473,2749.75,137.3312,25609660
2022-02-17,2723.0,2736.79,2644.04,2646.17,132.1581,30968120
2022-02-18,2660.75,2676.48,2606.14,2609.35,130.3192,31858600
2022-02-22,2599.7,2638.015,2554.82,2588.05,129.2554,38906580
2022-02-23,2621.57,2634.98,2550.07,2551.7,127.44,26431280
2022-02-24,2500.0,2660.74,2495.29,2653.47,132.5227,43165080
2022-02-25,2670.51,2707.78,2635.3,2690.39,134.3666,26235860
2022-02-28,2665.69,2712.81,2656.505,2697.82,134.7377,29675680
2022-03-01,2689.6,2722.22,2667.57,2683.36,134.0155,24639920
2022-03-02,2692.165,2712.31,2668.65,2695.03,134.5983,23966740
2022-03-03,2719.57,2734.276,2668.62,2686.16,134.1553,19779300
2022-03-04,2667.65,2683.98,2608.17,2642.44,131.9718,24472240
2022-03-07,2638.08,2638.08,2528.2,2529.29,126.3207,39177900
2022-03-08,2525.01,2624.93,2517.215,2545.57,127.1338,35249560
2022-03-09,2628.0,2683.97,2601.76,2677.32,133.7138,32257440
2022-03-10,2629.25,2670.77,2628.02,2653.64,132.5312,24265200
2022-03-11,2679.99,2684.0,2605.93,2609.51,130.3272,26599800
2022-03-14,2611.46,2620.52,2528.26,2534.82,126.5969,30253860
2022-03-15,2554.83,2610.345,2531.36,2593.21,129.5131,30292600
2022-03-16,2620.0,2675.42,2584.02,2673.81,133.5385,32058200
2022-03-17,2666.42,2694.79,2654.38,2692.01,134.4475,23994380
2022-03-18,2677.68,2738.27,2658.64,2736.03,136.646,45899700
2022-03-21,2736.95,2751.65,2692.23,2729.57,136.3234,26632460
2022-03-22,2730.0,2830.0,2730.0,2805.55,140.118,29776860
2022-03-23,2782.77,2800.5,2763.33,2770.07,138.3461,25302320
2022-03-24,2785.45,2827.93,2760.788,2826.24,141.1514,20544720
2022-03-25,2835.08,2839.19,2793.99,2830.43,141.3606,19289080
2022-03-28,2813.69,2839.53,2796.563,2839.0,141.7886,23773080
2022-03-29,2863.21,2883.25,2849.68,2865.0,143.0872,28678420
2022-03-30,2857.4,2869.61,2843.36,2852.89,142.4824,21046380
2022-03-31,2848.97,2852.89,2792.38,2792.99,139.4908,29516320
2022-04-01,2800.2,2819.0,2775.94,2814.0,140.5401,23480020
2022-04-04,2816.49,2880.875,2816.49,2872.85,143.4792,19084900
2022-04-05,2867.99,2871.8,2818.87,2821.26,140.9027,19255560
2022-04-06,2783.23,2796.97,2728.362,2743.52,137.0201,23574600
2022-04-07,2732.36,2754.03,2697.145,2729.3,136.3099,19448540
2022-04-08,2725.0,2725.0,2675.05,2680.21,133.8582,16434480
2022-04-11,2658.0,2658.784,2592.35,2595.93,129.649,24187340
2022-04-12,2648.47,2648.47,2551.52,2567.49,128.2286,23003220
2022-04-13,2572.53,2613.115,2568.772,2605.72,130.1379,19542960
2022-04-14,2612.99,2614.205,2542.23,2545.06,127.1084,23483360
2022-04-18,2548.2,2574.24,2531.569,2559.22,127.8155,14917200
2022-04-19,2561.54,2618.075,2549.03,2610.62,130.3826,22719300
2022-04-20,2625.68,2638.47,2557.881,2564.91,128.0997,22609380
2022-04-21,2587.0,2606.15,2493.0,2498.75,124.7955,30157540
2022-04-22,2500.0,2509.04,2382.81,2392.28,119.478,46410300
2022-04-25,2388.59,2465.56,2375.385,2465.0,123.1099,34521800
2022-04-26,2455.0,2455.0,2383.237,2390.12,119.3702,49393040
2022-04-27,2287.46,2350.0,2262.485,2300.41,114.8898,62238120
2022-04-28,2342.3,2408.77,2302.878,2388.23,119.2758,36790940
2022-04-29,2351.56,2379.2,2293.88,2299.33,114.8358,33693100
2022-05-02,2278.13,2346.79,2267.99,2343.14,117.0238,30279640
2022-05-03,2335.3,2386.0,2332.54,2362.59,117.9952,21215740
2022-05-04,2360.07,2462.86,2314.77,2451.5,122.4357,33231460
2022-05-05,2404.41,2424.665,2303.65,2334.93,116.6138,43089040
2022-05-06,2310.38,2349.97,2282.86,2313.2,115.5285,35309480
2022-05-09,2266.07,2311.258,2251.03,2261.68,112.9555,34520960
